Country,ISO3,Year,ObesityRate,GDP_per_capita_USD,CountryName,log_GDP_per_capita
Algeria,DZA,2022,24.24859,4961.55257664733,Algeria,3.695617597853505
American Samoa,ASM,2022,75.55959,18017.4589383973,American Samoa,4.255693540979972
Andorra,AND,2022,20.47006,42414.0590092117,Andorra,4.627509836264238
Angola,AGO,2022,10.53502,2929.69445467272,Angola,3.4668223290336297
Antigua and Barbuda,ATG,2022,34.06155,20105.1989085164,Antigua and Barbuda,4.3033083741036275
Zambia,ZMB,2022,9.4169,1447.12310138035,Zambia,3.1605054765068874
Argentina,ARG,2022,36.02564,13935.6811110049,Argentina,4.1441281998539266
Togo,TGO,2022,10.44978,898.758154410712,Togo,2.953642843752007
Tonga,TON,2022,70.53527,4933.07466930785,Tonga,3.693117689194746
Trinidad and Tobago,TTO,2022,29.15095,20874.37682915,Trinidad and Tobago,4.31961351918792
Tunisia,TUN,2022,28.264,3708.8481241036,Tunisia,3.569239049501644
Turkey,TUR,2022,34.25613,10674.504157865,Turkiye,4.028347710722404
Ukraine,UKR,2022,29.20289,4199.6708984375,Ukraine,3.62321525882824
Albania,ALB,2022,26.58335,6846.42669381643,Albania,3.835463962431891
Jamaica,JAM,2022,34.1783,6022.15339791763,Jamaica,3.77975181378396
Japan,JPN,2022,4.93537,34065.6438962526,Japan,4.532316602227319
Jordan,JOR,2022,35.61215,4332.25159897931,Jordan,3.6367136706853675
Kazakhstan,KAZ,2022,19.34311,11255.3396437881,Kazakhstan,4.051358604907164
Kenya,KEN,2022,11.04457,2109.56288513137,Kenya,3.324192476036214
Kiribati,KIR,2022,46.19357,2069.76720110559,Kiribati,3.3159215005482885
Vanuatu,VUT,2022,19.94757,3292.34108821237,Vanuatu,3.5175048220004075
Kuwait,KWT,2022,45.36456,39981.7690981957,Kuwait,4.601862006705214
Iceland,ISL,2022,22.58658,75121.0152280628,Iceland,4.87576144859999
India,IND,2022,7.20651,2347.44829434623,India,3.370596035133071
Indonesia,IDN,2022,11.50446,4730.83484836107,Indonesia,3.674937787258587
Iran,IRN,2022,25.26413,4405.09291519791,"Iran, Islamic Rep.",3.643955073277502
Iraq,IRQ,2022,37.36464,6520.73154560584,Iraq,3.8142963209463145
Ireland,IRL,2022,30.84253,105234.511567597,Ireland,5.022158189679123
Israel,ISR,2022,23.39079,54949.621556429,Israel,4.739964705740027
Italy,ITA,2022,21.55315,35653.9042103495,Italy,4.552107093351199
Kyrgyzstan,KGZ,2022,24.41363,1739.72018344174,Kyrgyz Republic,3.2404794019840164
Laos,LAO,2022,7.75802,2046.40440255621,Lao PDR,3.3109914614601315
Latvia,LVA,2022,29.81393,20227.2307431581,Latvia,4.305936428727846
Lebanon,LBN,2022,31.06655,3654.35845534878,Lebanon,3.562811144971817
Lesotho,LSO,2022,19.29229,1030.12579628833,Lesotho,3.0128902628585044
Liberia,LBR,2022,16.20574,744.617175237387,Liberia,2.8719330493747135
Libya,LBY,2022,36.15229,5986.63694851258,Libya,3.7771829217437447
Lithuania,LTU,2022,31.14159,25085.784063499,Lithuania,4.39942767957663
Guatemala,GTM,2022,25.19955,5358.70127494396,Guatemala,3.7290595476277772
Guinea,GIN,2022,8.2886,1416.59612011764,Guinea,3.1512460479848845
Guinea-Bissau,GNB,2022,10.07749,873.437861875428,Guinea-Bissau,2.94123201383581
Guyana,GUY,2022,27.99775,17913.4928066879,Guyana,4.253180273664589
Haiti,HTI,2022,10.22693,1760.62635668777,Haiti,3.2456671989847496
Honduras,HND,2022,28.53912,3003.28996826399,Honduras,3.4775972654448752
Hungary,HUN,2022,36.39898,18483.6366867035,Hungary,4.266787423463278
Luxembourg,LUX,2022,20.21109,123719.658915996,Luxembourg,5.0924387140218546
Madagascar,MDG,2022,3.84666,503.514533472879,Madagascar,2.7020120105718237
Malawi,MWI,2022,6.37348,604.269751184515,Malawi,2.7812308546779616
Malaysia,MYS,2022,22.40492,11748.0919307944,Malaysia,4.069967336291392
Maldives,MDV,2022,17.57296,11786.0091545343,Maldives,4.07136677408835
Mali,MLI,2022,9.95287,969.72220560562,Mali,2.986647340605071
Uzbekistan,UZB,2022,28.51616,2578.66689394219,Uzbekistan,3.4113952446326232
Malta,MLT,2022,34.62062,36224.2819955817,Malta,4.558999786042531
Gabon,GAB,2022,20.00162,8409.20741452279,Gabon,3.924755064558888
Gambia,GMB,2022,13.21974,836.244875582631,"Gambia, The",2.922333469474827
Georgia,GEO,2022,38.93636,6729.84659930283,Georgia,3.82800516499135
Germany,DEU,2022,24.16192,49686.1154582583,Germany,4.696235044220095
Ghana,GHA,2022,12.10874,2229.89122647803,Ghana,3.3482836787914247
Greece,GRC,2022,33.68205,20971.8349258283,Greece,4.32163643062265
Greenland,GRL,2022,28.17298,55635.0006491223,Greenland,4.74534809745143
Grenada,GRD,2022,30.49136,10535.4588771454,Grenada,4.022653456267993
Marshall Islands,MHL,2022,47.28545,6322.82855503156,Marshall Islands,3.8009114059768745
Mauritania,MRT,2022,20.84189,1960.35240077424,Mauritania,3.2923341488844313
Mauritius,MUS,2022,19.47077,10223.7882316574,Mauritius,4.009611845237728
Mexico,MEX,2022,36.08603,11402.1410374782,Mexico,4.056986408657211
Micronesia (country),FSM,2022,45.59584,3710.12448453257,"Micronesia, Fed. Sts.",3.5693884815931023
Moldova,MDA,2022,25.64504,5744.29618434435,Moldova,3.759236824672634
Mongolia,MNG,2022,23.98801,4993.51487463495,Mongolia,3.6984063478865767
Montenegro,MNE,2022,21.05212,9990.20444616996,Montenegro,3.9995743760072564
Eswatini,SWZ,2022,27.31483,3889.65276959161,Eswatini,3.589910833464242
Ethiopia,ETH,2022,2.40611,1011.07332413462,Ethiopia,3.0047826522401975
Fiji,FJI,2022,33.84237,5405.03006162671,Fiji,3.7327981137495123
Finland,FIN,2022,23.70109,50440.560224974,Finland,4.702779901478833
France,FRA,2022,10.92481,41082.8119320747,France,4.613660161429368
Vietnam,VNM,2022,2.0817,4147.69777213621,Viet Nam,3.617807103388296
French Polynesia,PYF,2022,48.41785,20738.6499971661,French Polynesia,4.31678048214638
Morocco,MAR,2022,22.12767,3455.39624023438,Morocco,3.538497856364395
Mozambique,MOZ,2022,8.7818,578.251663751351,Mozambique,2.762116891000792
Myanmar,MMR,2022,7.54058,1158.05005034332,Myanmar,3.063727329787093
Namibia,NAM,2022,15.2854,4349.79908493314,Namibia,3.6384691975707293
Nauru,NRU,2022,70.18286,12896.4341046481,Nauru,4.1104696434188455
Nepal,NPL,2022,6.57554,1385.91066274851,Nepal,3.1417352361013107
Uruguay,URY,2022,34.66752,20818.6146091144,Uruguay,4.318451825672324
Netherlands,NLD,2022,16.91088,59123.318556487,Netherlands,4.771758802760276
East Timor,TLS,2022,2.24756,2343.24523350389,Timor-Leste,3.3698177422820805
Ecuador,ECU,2022,26.98363,6515.58528418336,Ecuador,3.8139534337514887
Egypt,EGY,2022,42.98924,4233.30783744856,"Egypt, Arab Rep.",3.6266798506247797
El Salvador,SLV,2022,29.89273,5074.60210221806,El Salvador,3.7054019950412775
Equatorial Guinea,GNQ,2022,17.16117,7589.29964909381,Equatorial Guinea,3.8802017004583784
Estonia,EST,2022,26.67095,28451.1477825175,Estonia,4.454099791488869
New Zealand,NZL,2022,34.24536,48760.0381935936,New Zealand,4.6880640371280595
Nicaragua,NIC,2022,32.42438,2322.89053964583,Nicaragua,3.3660287452510143
Niger,NER,2022,5.32594,609.745147661683,Niger,2.785148352893697
Nigeria,NGA,2022,10.83669,2139.37478476974,Nigeria,3.330286872790071
North Macedonia,MKD,2022,30.6488,7606.2375253797,North Macedonia,3.8811698833094628
Norway,NOR,2022,19.76505,109269.520580298,Norway,5.038499037615085
Cyprus,CYP,2022,25.10993,33894.44921875,Cyprus,4.530128581062954
Czechia,CZE,2022,31.29533,28282.2236715857,Czechia,4.451513552590681
Democratic Republic of Congo,COD,2022,5.76078,642.612267148918,"Congo, Dem. Rep.",2.8079490117605244
Denmark,DNK,2022,14.30341,68091.3191138669,Denmark,4.833091747724006
Djibouti,DJI,2022,10.86511,3133.25779772463,Djibouti,3.4959961291693555
Dominica,DMA,2022,31.50258,9323.66089490562,Dominica,3.9695864696802206
Dominican Republic,DOM,2022,29.12325,10104.2449349081,Dominican Republic,4.004503865317435
Oman,OMN,2022,30.18688,23223.5829405935,Oman,4.3659292236406495
Pakistan,PAK,2022,21.84745,1538.3228133171,Pakistan,3.187047480674367
Palau,PLW,2022,42.20363,14392.2011374514,Palau,4.158127219839638
Palestine,PSE,2022,32.8151,3799.95527015163,West Bank and Gaza,3.579778484500848
Panama,PAN,2022,36.0801,17332.4360742988,Panama,4.238859607103581
Papua New Guinea,PNG,2022,20.12462,3102.28968594061,Papua New Guinea,3.4916823489680455
United States,USA,2022,42.86787,77860.9112908848,United States,4.891319482432318
Paraguay,PRY,2022,32.08339,6205.6259537937,Paraguay,3.792785594790038
Colombia,COL,2022,23.85454,6680.44506854481,Colombia,3.824805397262098
Comoros,COM,2022,15.54546,1533.87755332151,Comoros,3.185790692051497
Congo,COG,2022,7.95688,2620.83804304713,"Congo, Rep.",3.4184401841727885
Costa Rica,CRI,2022,31.97244,13625.9008491478,Costa Rica,4.134365224407822
Cote d'Ivoire,CIV,2022,10.58711,2333.37128334477,Cote d'Ivoire,3.3679838487288203
Croatia,HRV,2022,35.65174,18466.0955472648,Croatia,4.2663750783567655
Peru,PER,2022,27.18473,7350.63034300417,Peru,3.866324582995809
Philippines,PHL,2022,8.73605,3548.06930572116,Philippines,3.5499920944737515
Poland,POL,2022,31.41283,18891.213529396,Poland,4.276259856926194
Portugal,PRT,2022,27.06199,24620.519556875,Portugal,4.391297213432951
Puerto Rico,PRI,2022,41.01081,35353.6821570014,Puerto Rico (US),4.5484346531311495
Qatar,QAT,2022,43.75553,88701.463352273,Qatar,4.947930784663462
Romania,ROU,2022,38.23628,15557.8826247584,Romania,4.191950490664242
Russia,RUS,2022,28.04944,15619.6142578125,Russian Federation,4.193670304331802
Cameroon,CMR,2022,13.35076,1604.87726954895,Cameroon,3.205441826027083
Canada,CAN,2022,27.31915,56256.8007264015,Canada,4.750175030595323
Cape Verde,CPV,2022,15.08562,4323.31362032709,Cabo Verde,3.635816741117073
Central African Republic,CAF,2022,7.66854,467.359825026238,Central African Republic,2.669651377035
Chad,TCD,2022,5.71398,966.036468278568,Chad,2.9849935215223233
Chile,CHL,2022,39.52288,15405.6165774073,Chile,4.18767908472417
China,CHN,2022,8.21126,12970.6056414327,China,4.112960255235301
Rwanda,RWA,2022,4.56908,975.469323979541,Rwanda,2.989213616492312
Saint Kitts and Nevis,KNA,2022,46.61522,20985.0112160159,St. Kitts and Nevis,4.321909205668191
Saint Lucia,LCA,2022,33.93452,13103.8243147472,St. Lucia,4.1173980617936845
Saint Vincent and the Grenadines,VCT,2022,33.56653,9693.55867833025,St. Vincent and the Grenadines,3.9864832435764646
Samoa,WSM,2022,61.23695,3869.46639492144,Samoa,3.5876510793033654
United Kingdom,GBR,2022,28.70708,46062.9914079698,United Kingdom,4.663352138356587
Sao Tome and Principe,STP,2022,15.03851,2389.73729784737,Sao Tome and Principe,3.378350161882881
Saudi Arabia,SAU,2022,41.1081,38510.2276211037,Saudi Arabia,4.585576085600065
Bosnia and Herzegovina,BIH,2022,25.46701,7655.59421024383,Bosnia and Herzegovina,3.8839789053170515
Botswana,BWA,2022,17.45848,8328.70905682185,Botswana,3.920577691329166
Brazil,BRA,2022,28.76292,9281.33334441234,Brazil,3.9676103708875
Brunei,BRN,2022,32.37802,36632.9280421411,Brunei Darussalam,4.563871632880297
Bulgaria,BGR,2022,24.24786,13999.6719197289,Bulgaria,4.146117858169603
Burkina Faso,BFA,2022,6.10077,836.118304593682,Burkina Faso,2.9222677312633834
Burundi,BDI,2022,4.5345,250.634225368744,Burundi,2.3990403758116465
Cambodia,KHM,2022,4.38646,2325.03050040841,Cambodia,3.3664286544613207
Senegal,SEN,2022,8.68215,1574.0281059306,Senegal,3.1970124828779314
Serbia,SRB,2022,26.05491,10022.9688543402,Serbia,4.000996380820808
Seychelles,SYC,2022,30.26695,16836.6721895387,Seychelles,4.226256256252742
Sierra Leone,SLE,2022,6.47527,860.774590932595,Sierra Leone,2.93488943864221
Singapore,SGP,2022,13.53592,90299.0694637269,Singapore,4.955683274910949
Slovakia,SVK,2022,30.28089,21334.6011006572,Slovak Republic,4.329084527138947
Slovenia,SVN,2022,22.20498,28373.8382265999,Slovenia,4.45291808827673
Solomon Islands,SLB,2022,21.62689,2005.4139933198,Solomon Islands,3.302204041023438
Belarus,BLR,2022,26.55127,7994.64806074889,Belarus,3.902799350053618
Belgium,BEL,2022,22.00038,50822.2518538518,Belgium,4.706053904044446
Belize,BLZ,2022,41.91092,7068.45478269722,Belize,3.849324484137198
Benin,BEN,2022,9.8947,1266.42710981159,Benin,3.1025801986922352
Bermuda,BMU,2022,34.00804,121613.939983629,Bermuda,5.084983358744132
Bhutan,BTN,2022,11.98425,3711.32767981591,Bhutan,3.5695293006848954
Bolivia,BOL,2022,27.80303,3643.92826984604,Bolivia,3.561569819366641
Somalia,SOM,2022,12.69808,573.128092472349,"Somalia, Fed. Rep.",2.7582516963773296
South Africa,ZAF,2022,30.03376,6523.41097815853,South Africa,3.8144747401542483
South Korea,KOR,2022,6.73334,32394.6833725203,"Korea, Rep.",4.510473739483097
Spain,ESP,2022,19.16706,30270.2687017458,Spain,4.481016276099207
United Arab Emirates,ARE,2022,31.54617,49899.0652975197,United Arab Emirates,4.698092410554625
Sri Lanka,LKA,2022,10.60543,3342.63650253855,Sri Lanka,3.5240891514878863
Armenia,ARM,2022,27.86621,6571.97445545099,Armenia,3.817695866710949
Australia,AUS,2022,31.82415,64997.0136536475,Australia,4.812893403049989
Austria,AUT,2022,17.04036,52176.6649141178,Austria,4.717476315935439
Azerbaijan,AZE,2022,27.50411,7770.594223351,Azerbaijan,3.8904542309057764
Bahamas,BHS,2022,47.61047,34957.1613279737,"Bahamas, The",4.543536158812173
Bahrain,BHR,2022,37.18739,30470.5219276023,Bahrain,4.483879893288519
Bangladesh,BGD,2022,5.29035,2716.48592780431,Bangladesh,3.434007459602478
Barbados,BRB,2022,38.22936,22164.0260273876,Barbados,4.345648651483543
Sudan,SDN,2022,15.49623,1046.24084472656,Sudan,3.019631670664751
Suriname,SUR,2022,28.98193,6084.43876736445,Suriname,3.78422052480475
Sweden,SWE,2022,16.4103,55296.9371472535,Sweden,4.742701076749819
Switzerland,CHE,2022,13.74016,94394.5106803525,Switzerland,4.974946739525307
Syria,SYR,2022,31.17818,1051.67149587463,Syrian Arab Republic,3.0218801031174367
Tajikistan,TJK,2022,20.80941,1052.17949484894,Tajikistan,3.0220898338983866
Tanzania,TZA,2022,11.39353,1207.85302734375,Tanzania,3.0820140921519563
Thailand,THA,2022,14.50924,6909.35281815827,Thailand,3.8394373699985564
Turkmenistan,TKM,2022,20.1582,8156.35211950774,Turkmenistan,3.911495966524713
Tuvalu,TUV,2022,63.93328,5911.32727055301,Tuvalu,3.7716850039878227
Afghanistan,AFG,2022,17.59419,357.261152798144,Afghanistan,2.5529857952603163
Uganda,UGA,2022,6.88494,963.067314233497,Uganda,2.9836566434884655
Zimbabwe,ZWE,2022,12.427,2040.54658705395,Zimbabwe,3.309746514458222
