Locationdesc,PerCapitaIncome,ObesityRate,PhysicalActivityRate,Cluster
Alabama,54612.0,39.49166666666667,50.43333333333333,2
Arizona,63032.0,32.577777777777776,57.476543209876546,0
Arkansas,56547.0,41.056000000000004,49.01756756756757,2
California,81196.0,27.996296296296297,56.65365853658537,1
Colorado,80169.0,25.3962962962963,60.19753086419753,1
Connecticut,90235.0,30.592,52.18333333333334,1
Delaware,64591.0,35.483333333333334,53.37567567567568,0
District of Columbia,106640.0,25.52608695652174,61.75066666666667,1
Florida,70057.0,30.73076923076923,55.13375,0
Georgia,60006.0,34.72,54.84691358024692,0
Idaho,59201.0,32.34166666666667,57.08648648648648,0
Illinois,71761.0,35.824,54.684000000000005,0
Indiana,61386.0,38.45384615384615,54.885185185185186,2
Iowa,62688.0,38.19583333333333,52.667567567567566,2
Kansas,63513.0,36.370370370370374,51.69506172839506,2
Louisiana,58996.0,40.073076923076925,51.560759493670886,2
Maine,65447.0,33.11923076923077,57.81794871794872,0
Maryland,75476.0,35.36296296296296,54.40864197530865,0
Massachusetts,89947.0,28.307692307692307,54.930769230769236,1
Michigan,61206.0,34.78076923076923,54.1873417721519,0
Minnesota,72673.0,32.629629629629626,54.75802469135802,0
Mississippi,49661.0,40.995652173913044,47.289855072463766,2
Missouri,62435.0,36.141666666666666,49.61948051948052,2
Montana,66181.0,30.870833333333334,58.951388888888886,0
Nebraska,71517.0,35.98076923076923,53.107594936708864,0
Nevada,66698.0,31.133333333333336,55.175,0
New Hampshire,79267.0,34.391666666666666,57.635999999999996,0
New Jersey,81584.0,29.376923076923074,53.957692307692305,1
New Mexico,55457.0,35.57826086956521,55.5231884057971,0
New York,81932.0,28.225925925925928,53.264197530864195,1
North Carolina,62233.0,35.4625,54.24933333333333,0
North Dakota,71545.0,36.32,57.16410256410256,0
Ohio,61740.0,35.5,53.64810126582278,0
Oklahoma,60853.0,39.412,47.45128205128205,2
Oregon,67467.0,34.218518518518515,59.3379746835443,0
Rhode Island,67769.0,32.424,51.71666666666667,0
South Carolina,57766.0,37.0,53.85061728395061,2
South Dakota,74155.0,35.78695652173913,52.40845070422535,0
Tennessee,63479.0,37.80416666666667,53.14109589041096,2
Texas,67503.0,34.41481481481482,53.735,0
Utah,64544.0,31.78148148148148,59.717499999999994,0
Vermont,67918.0,29.851999999999997,58.81818181818182,0
Virginia,73890.0,34.764,55.89333333333333,0
Washington,81087.0,32.18928571428571,58.075,1
West Virginia,52963.0,40.70434782608696,48.24,2
Wisconsin,64872.0,36.292307692307695,51.31012658227848,2
Wyoming,83038.0,34.291666666666664,52.958333333333336,0
